onset1	nucleus1	onset2	nucleus2	coda	shape	jamo	hangul	romanization	lexicality	memo
mp	a	tʰ	o	ŋ	NCVCVC	ᄆㅂㅏㅌㅗᆼ				
mp	a	tʰ	o	p̚	NCVCVC	ᄆㅂㅏㅌㅗᆸ				
mp	a	tʰ	o	k̚	NCVCVC	ᄆㅂㅏㅌㅗᆨ				
mp	a	cʰ	o	m	NCVCVC	ᄆㅂㅏㅊㅗᆷ				
mp	a	cʰ	o	n	NCVCVC	ᄆㅂㅏㅊㅗᆫ				
mp	a	cʰ	o	ŋ	NCVCVC	ᄆㅂㅏㅊㅗᆼ				
mp	a	cʰ	o	p̚	NCVCVC	ᄆㅂㅏㅊㅗᆸ				
mp	a	cʰ	o	t̚	NCVCVC	ᄆㅂㅏㅊㅗᆮ				
mp	a	cʰ	o	k̚	NCVCVC	ᄆㅂㅏㅊㅗᆨ				
mp	a	kʰ	o	m	NCVCVC	ᄆㅂㅏㅋㅗᆷ				
mp	a	kʰ	o	n	NCVCVC	ᄆㅂㅏㅋㅗᆫ				
mp	a	kʰ	o	ŋ	NCVCVC	ᄆㅂㅏㅋㅗᆼ				
mp	a	kʰ	o	p̚	NCVCVC	ᄆㅂㅏㅋㅗᆸ				
mp	a	kʰ	o	t̚	NCVCVC	ᄆㅂㅏㅋㅗᆮ				
mp	a	s	o	m	NCVCVC	ᄆㅂㅏᄉㅗᆷ				
mp	a	s	o	n	NCVCVC	ᄆㅂㅏᄉㅗᆫ				
mp	a	s	o	ŋ	NCVCVC	ᄆㅂㅏᄉㅗᆼ				
mp	a	s	o	p̚	NCVCVC	ᄆㅂㅏᄉㅗᆸ				
mp	a	s	o	t̚	NCVCVC	ᄆㅂㅏᄉㅗᆮ				
mp	a	s	o	k̚	NCVCVC	ᄆㅂㅏᄉㅗᆨ				
mp	a	m	o	n	NCVCVC	ᄆㅂㅏᄆㅗᆫ				
mp	a	m	o	ŋ	NCVCVC	ᄆㅂㅏᄆㅗᆼ				
mp	a	m	o	p̚	NCVCVC	ᄆㅂㅏᄆㅗᆸ				
mp	a	m	o	t̚	NCVCVC	ᄆㅂㅏᄆㅗᆮ				
mp	a	m	o	k̚	NCVCVC	ᄆㅂㅏᄆㅗᆨ				
mp	a	n	o	m	NCVCVC	ᄆㅂㅏᄂㅗᆷ				
mp	a	n	o	ŋ	NCVCVC	ᄆㅂㅏᄂㅗᆼ				
mp	a	n	o	p̚	NCVCVC	ᄆㅂㅏᄂㅗᆸ				
mp	a	n	o	t̚	NCVCVC	ᄆㅂㅏᄂㅗᆮ				
mp	a	n	o	k̚	NCVCVC	ᄆㅂㅏᄂㅗᆨ				
mp	a	t	u	m	NCVCVC	ᄆㅂㅏㄷㅜᆷ				
mp	a	t	u	n	NCVCVC	ᄆㅂㅏㄷㅜᆫ				
mp	a	t	u	ŋ	NCVCVC	ᄆㅂㅏㄷㅜᆼ				
mp	a	t	u	p̚	NCVCVC	ᄆㅂㅏㄷㅜᆸ				
mp	a	t	u	k̚	NCVCVC	ᄆㅂㅏㄷㅜᆨ				
mp	a	c	u	m	NCVCVC	ᄆㅂㅏㅈㅜᆷ				
mp	a	c	u	n	NCVCVC	ᄆㅂㅏㅈㅜᆫ				
mp	a	c	u	ŋ	NCVCVC	ᄆㅂㅏㅈㅜᆼ				
mp	a	c	u	p̚	NCVCVC	ᄆㅂㅏㅈㅜᆸ				
mp	a	c	u	t̚	NCVCVC	ᄆㅂㅏㅈㅜᆮ				
mp	a	c	u	k̚	NCVCVC	ᄆㅂㅏㅈㅜᆨ				
mp	a	k	u	m	NCVCVC	ᄆㅂㅏㄱㅜᆷ				
mp	a	k	u	n	NCVCVC	ᄆㅂㅏㄱㅜᆫ				
mp	a	k	u	ŋ	NCVCVC	ᄆㅂㅏㄱㅜᆼ				
mp	a	k	u	p̚	NCVCVC	ᄆㅂㅏㄱㅜᆸ				
mp	a	k	u	t̚	NCVCVC	ᄆㅂㅏㄱㅜᆮ				
mp	a	tʰ	u	m	NCVCVC	ᄆㅂㅏㅌㅜᆷ				
mp	a	tʰ	u	n	NCVCVC	ᄆㅂㅏㅌㅜᆫ				
mp	a	tʰ	u	ŋ	NCVCVC	ᄆㅂㅏㅌㅜᆼ				
mp	a	tʰ	u	p̚	NCVCVC	ᄆㅂㅏㅌㅜᆸ				
mp	a	tʰ	u	k̚	NCVCVC	ᄆㅂㅏㅌㅜᆨ				
mp	a	cʰ	u	m	NCVCVC	ᄆㅂㅏㅊㅜᆷ				
mp	a	cʰ	u	n	NCVCVC	ᄆㅂㅏㅊㅜᆫ				
mp	a	cʰ	u	ŋ	NCVCVC	ᄆㅂㅏㅊㅜᆼ				
mp	a	cʰ	u	p̚	NCVCVC	ᄆㅂㅏㅊㅜᆸ				
mp	a	cʰ	u	t̚	NCVCVC	ᄆㅂㅏㅊㅜᆮ				
mp	a	cʰ	u	k̚	NCVCVC	ᄆㅂㅏㅊㅜᆨ				
mp	a	kʰ	u	m	NCVCVC	ᄆㅂㅏㅋㅜᆷ				
mp	a	kʰ	u	n	NCVCVC	ᄆㅂㅏㅋㅜᆫ				
mp	a	kʰ	u	ŋ	NCVCVC	ᄆㅂㅏㅋㅜᆼ				
mp	a	kʰ	u	p̚	NCVCVC	ᄆㅂㅏㅋㅜᆸ				
mp	a	kʰ	u	t̚	NCVCVC	ᄆㅂㅏㅋㅜᆮ				
mp	a	s	u	m	NCVCVC	ᄆㅂㅏᄉㅜᆷ				
mp	a	s	u	n	NCVCVC	ᄆㅂㅏᄉㅜᆫ				
mp	a	s	u	ŋ	NCVCVC	ᄆㅂㅏᄉㅜᆼ				
mp	a	s	u	p̚	NCVCVC	ᄆㅂㅏᄉㅜᆸ				
mp	a	s	u	t̚	NCVCVC	ᄆㅂㅏᄉㅜᆮ				
mp	a	s	u	k̚	NCVCVC	ᄆㅂㅏᄉㅜᆨ				
mp	a	m	u	n	NCVCVC	ᄆㅂㅏᄆㅜᆫ				
mp	a	m	u	ŋ	NCVCVC	ᄆㅂㅏᄆㅜᆼ				
mp	a	m	u	p̚	NCVCVC	ᄆㅂㅏᄆㅜᆸ				
mp	a	m	u	t̚	NCVCVC	ᄆㅂㅏᄆㅜᆮ				
mp	a	m	u	k̚	NCVCVC	ᄆㅂㅏᄆㅜᆨ				
mp	a	n	u	m	NCVCVC	ᄆㅂㅏᄂㅜᆷ				
mp	a	n	u	ŋ	NCVCVC	ᄆㅂㅏᄂㅜᆼ				
mp	a	n	u	p̚	NCVCVC	ᄆㅂㅏᄂㅜᆸ				
mp	a	n	u	t̚	NCVCVC	ᄆㅂㅏᄂㅜᆮ				
mp	a	n	u	k̚	NCVCVC	ᄆㅂㅏᄂㅜᆨ				
mp	o	t	i	m	NCVCVC	ᄆㅂㅗㄷㅣᆷ				
mp	o	t	i	n	NCVCVC	ᄆㅂㅗㄷㅣᆫ				
mp	o	t	i	ŋ	NCVCVC	ᄆㅂㅗㄷㅣᆼ				
mp	o	t	i	p̚	NCVCVC	ᄆㅂㅗㄷㅣᆸ				
mp	o	t	i	k̚	NCVCVC	ᄆㅂㅗㄷㅣᆨ				
mp	o	c	i	m	NCVCVC	ᄆㅂㅗㅈㅣᆷ				
mp	o	c	i	n	NCVCVC	ᄆㅂㅗㅈㅣᆫ				
mp	o	c	i	ŋ	NCVCVC	ᄆㅂㅗㅈㅣᆼ				
mp	o	c	i	p̚	NCVCVC	ᄆㅂㅗㅈㅣᆸ				
mp	o	c	i	t̚	NCVCVC	ᄆㅂㅗㅈㅣᆮ				
mp	o	c	i	k̚	NCVCVC	ᄆㅂㅗㅈㅣᆨ				
mp	o	k	i	m	NCVCVC	ᄆㅂㅗㄱㅣᆷ				
mp	o	k	i	n	NCVCVC	ᄆㅂㅗㄱㅣᆫ				
mp	o	k	i	ŋ	NCVCVC	ᄆㅂㅗㄱㅣᆼ				
mp	o	k	i	p̚	NCVCVC	ᄆㅂㅗㄱㅣᆸ				
mp	o	k	i	t̚	NCVCVC	ᄆㅂㅗㄱㅣᆮ				
mp	o	tʰ	i	m	NCVCVC	ᄆㅂㅗㅌㅣᆷ				
mp	o	tʰ	i	n	NCVCVC	ᄆㅂㅗㅌㅣᆫ				
mp	o	tʰ	i	ŋ	NCVCVC	ᄆㅂㅗㅌㅣᆼ				
mp	o	tʰ	i	p̚	NCVCVC	ᄆㅂㅗㅌㅣᆸ				
mp	o	tʰ	i	k̚	NCVCVC	ᄆㅂㅗㅌㅣᆨ				
mp	o	cʰ	i	m	NCVCVC	ᄆㅂㅗㅊㅣᆷ				
mp	o	cʰ	i	n	NCVCVC	ᄆㅂㅗㅊㅣᆫ				
mp	o	cʰ	i	ŋ	NCVCVC	ᄆㅂㅗㅊㅣᆼ				
mp	o	cʰ	i	p̚	NCVCVC	ᄆㅂㅗㅊㅣᆸ				
mp	o	cʰ	i	t̚	NCVCVC	ᄆㅂㅗㅊㅣᆮ				
mp	o	cʰ	i	k̚	NCVCVC	ᄆㅂㅗㅊㅣᆨ				
mp	o	kʰ	i	m	NCVCVC	ᄆㅂㅗㅋㅣᆷ				
mp	o	kʰ	i	n	NCVCVC	ᄆㅂㅗㅋㅣᆫ				
mp	o	kʰ	i	ŋ	NCVCVC	ᄆㅂㅗㅋㅣᆼ				
mp	o	kʰ	i	p̚	NCVCVC	ᄆㅂㅗㅋㅣᆸ				
mp	o	kʰ	i	t̚	NCVCVC	ᄆㅂㅗㅋㅣᆮ				
mp	o	s	i	m	NCVCVC	ᄆㅂㅗᄉㅣᆷ				
mp	o	s	i	n	NCVCVC	ᄆㅂㅗᄉㅣᆫ				
mp	o	s	i	ŋ	NCVCVC	ᄆㅂㅗᄉㅣᆼ				
mp	o	s	i	p̚	NCVCVC	ᄆㅂㅗᄉㅣᆸ				
mp	o	s	i	t̚	NCVCVC	ᄆㅂㅗᄉㅣᆮ				
mp	o	s	i	k̚	NCVCVC	ᄆㅂㅗᄉㅣᆨ				
mp	o	m	i	n	NCVCVC	ᄆㅂㅗᄆㅣᆫ				
mp	o	m	i	ŋ	NCVCVC	ᄆㅂㅗᄆㅣᆼ				
mp	o	m	i	p̚	NCVCVC	ᄆㅂㅗᄆㅣᆸ				
mp	o	m	i	t̚	NCVCVC	ᄆㅂㅗᄆㅣᆮ				
mp	o	m	i	k̚	NCVCVC	ᄆㅂㅗᄆㅣᆨ				
mp	o	n	i	m	NCVCVC	ᄆㅂㅗᄂㅣᆷ				
mp	o	n	i	ŋ	NCVCVC	ᄆㅂㅗᄂㅣᆼ				
mp	o	n	i	p̚	NCVCVC	ᄆㅂㅗᄂㅣᆸ				
mp	o	n	i	t̚	NCVCVC	ᄆㅂㅗᄂㅣᆮ				
mp	o	n	i	k̚	NCVCVC	ᄆㅂㅗᄂㅣᆨ				
mp	o	t	a	m	NCVCVC	ᄆㅂㅗㄷㅏᆷ				
mp	o	t	a	n	NCVCVC	ᄆㅂㅗㄷㅏᆫ				
mp	o	t	a	ŋ	NCVCVC	ᄆㅂㅗㄷㅏᆼ				
mp	o	t	a	p̚	NCVCVC	ᄆㅂㅗㄷㅏᆸ				
mp	o	t	a	k̚	NCVCVC	ᄆㅂㅗㄷㅏᆨ				
mp	o	c	a	m	NCVCVC	ᄆㅂㅗㅈㅏᆷ				
mp	o	c	a	n	NCVCVC	ᄆㅂㅗㅈㅏᆫ				
mp	o	c	a	ŋ	NCVCVC	ᄆㅂㅗㅈㅏᆼ				
mp	o	c	a	p̚	NCVCVC	ᄆㅂㅗㅈㅏᆸ				
mp	o	c	a	t̚	NCVCVC	ᄆㅂㅗㅈㅏᆮ				
mp	o	c	a	k̚	NCVCVC	ᄆㅂㅗㅈㅏᆨ				
mp	o	k	a	m	NCVCVC	ᄆㅂㅗㄱㅏᆷ				
mp	o	k	a	n	NCVCVC	ᄆㅂㅗㄱㅏᆫ				
mp	o	k	a	ŋ	NCVCVC	ᄆㅂㅗㄱㅏᆼ				
mp	o	k	a	p̚	NCVCVC	ᄆㅂㅗㄱㅏᆸ				
mp	o	k	a	t̚	NCVCVC	ᄆㅂㅗㄱㅏᆮ				
mp	o	tʰ	a	m	NCVCVC	ᄆㅂㅗㅌㅏᆷ				
mp	o	tʰ	a	n	NCVCVC	ᄆㅂㅗㅌㅏᆫ				
mp	o	tʰ	a	ŋ	NCVCVC	ᄆㅂㅗㅌㅏᆼ				
mp	o	tʰ	a	p̚	NCVCVC	ᄆㅂㅗㅌㅏᆸ				
mp	o	tʰ	a	k̚	NCVCVC	ᄆㅂㅗㅌㅏᆨ				
mp	o	cʰ	a	m	NCVCVC	ᄆㅂㅗㅊㅏᆷ				
mp	o	cʰ	a	n	NCVCVC	ᄆㅂㅗㅊㅏᆫ				
mp	o	cʰ	a	ŋ	NCVCVC	ᄆㅂㅗㅊㅏᆼ				
mp	o	cʰ	a	p̚	NCVCVC	ᄆㅂㅗㅊㅏᆸ				
mp	o	cʰ	a	t̚	NCVCVC	ᄆㅂㅗㅊㅏᆮ				
mp	o	cʰ	a	k̚	NCVCVC	ᄆㅂㅗㅊㅏᆨ				
mp	o	kʰ	a	m	NCVCVC	ᄆㅂㅗㅋㅏᆷ				
mp	o	kʰ	a	n	NCVCVC	ᄆㅂㅗㅋㅏᆫ				
mp	o	kʰ	a	ŋ	NCVCVC	ᄆㅂㅗㅋㅏᆼ				
mp	o	kʰ	a	p̚	NCVCVC	ᄆㅂㅗㅋㅏᆸ				
mp	o	kʰ	a	t̚	NCVCVC	ᄆㅂㅗㅋㅏᆮ				
mp	o	s	a	m	NCVCVC	ᄆㅂㅗᄉㅏᆷ				
mp	o	s	a	n	NCVCVC	ᄆㅂㅗᄉㅏᆫ				
mp	o	s	a	ŋ	NCVCVC	ᄆㅂㅗᄉㅏᆼ				
mp	o	s	a	p̚	NCVCVC	ᄆㅂㅗᄉㅏᆸ				
mp	o	s	a	t̚	NCVCVC	ᄆㅂㅗᄉㅏᆮ				
mp	o	s	a	k̚	NCVCVC	ᄆㅂㅗᄉㅏᆨ				
mp	o	m	a	n	NCVCVC	ᄆㅂㅗᄆㅏᆫ				
mp	o	m	a	ŋ	NCVCVC	ᄆㅂㅗᄆㅏᆼ				
mp	o	m	a	p̚	NCVCVC	ᄆㅂㅗᄆㅏᆸ				
mp	o	m	a	t̚	NCVCVC	ᄆㅂㅗᄆㅏᆮ				
mp	o	m	a	k̚	NCVCVC	ᄆㅂㅗᄆㅏᆨ				
mp	o	n	a	m	NCVCVC	ᄆㅂㅗᄂㅏᆷ				
mp	o	n	a	ŋ	NCVCVC	ᄆㅂㅗᄂㅏᆼ				
mp	o	n	a	p̚	NCVCVC	ᄆㅂㅗᄂㅏᆸ				
mp	o	n	a	t̚	NCVCVC	ᄆㅂㅗᄂㅏᆮ				
mp	o	n	a	k̚	NCVCVC	ᄆㅂㅗᄂㅏᆨ				
mp	o	t	u	m	NCVCVC	ᄆㅂㅗㄷㅜᆷ				
mp	o	t	u	n	NCVCVC	ᄆㅂㅗㄷㅜᆫ				
mp	o	t	u	ŋ	NCVCVC	ᄆㅂㅗㄷㅜᆼ				
mp	o	t	u	p̚	NCVCVC	ᄆㅂㅗㄷㅜᆸ				
mp	o	t	u	k̚	NCVCVC	ᄆㅂㅗㄷㅜᆨ				
mp	o	c	u	m	NCVCVC	ᄆㅂㅗㅈㅜᆷ				
mp	o	c	u	n	NCVCVC	ᄆㅂㅗㅈㅜᆫ				
mp	o	c	u	ŋ	NCVCVC	ᄆㅂㅗㅈㅜᆼ				
mp	o	c	u	p̚	NCVCVC	ᄆㅂㅗㅈㅜᆸ				
mp	o	c	u	t̚	NCVCVC	ᄆㅂㅗㅈㅜᆮ				
mp	o	c	u	k̚	NCVCVC	ᄆㅂㅗㅈㅜᆨ				
mp	o	k	u	m	NCVCVC	ᄆㅂㅗㄱㅜᆷ				
mp	o	k	u	n	NCVCVC	ᄆㅂㅗㄱㅜᆫ				
mp	o	k	u	ŋ	NCVCVC	ᄆㅂㅗㄱㅜᆼ				
mp	o	k	u	p̚	NCVCVC	ᄆㅂㅗㄱㅜᆸ				
mp	o	k	u	t̚	NCVCVC	ᄆㅂㅗㄱㅜᆮ				
mp	o	tʰ	u	m	NCVCVC	ᄆㅂㅗㅌㅜᆷ				
mp	o	tʰ	u	n	NCVCVC	ᄆㅂㅗㅌㅜᆫ				
mp	o	tʰ	u	ŋ	NCVCVC	ᄆㅂㅗㅌㅜᆼ				
mp	o	tʰ	u	p̚	NCVCVC	ᄆㅂㅗㅌㅜᆸ				
mp	o	tʰ	u	k̚	NCVCVC	ᄆㅂㅗㅌㅜᆨ				
mp	o	cʰ	u	m	NCVCVC	ᄆㅂㅗㅊㅜᆷ				
mp	o	cʰ	u	n	NCVCVC	ᄆㅂㅗㅊㅜᆫ				
mp	o	cʰ	u	ŋ	NCVCVC	ᄆㅂㅗㅊㅜᆼ				
mp	o	cʰ	u	p̚	NCVCVC	ᄆㅂㅗㅊㅜᆸ				
mp	o	cʰ	u	t̚	NCVCVC	ᄆㅂㅗㅊㅜᆮ				
mp	o	cʰ	u	k̚	NCVCVC	ᄆㅂㅗㅊㅜᆨ				
mp	o	kʰ	u	m	NCVCVC	ᄆㅂㅗㅋㅜᆷ				
mp	o	kʰ	u	n	NCVCVC	ᄆㅂㅗㅋㅜᆫ				
mp	o	kʰ	u	ŋ	NCVCVC	ᄆㅂㅗㅋㅜᆼ				
mp	o	kʰ	u	p̚	NCVCVC	ᄆㅂㅗㅋㅜᆸ				
mp	o	kʰ	u	t̚	NCVCVC	ᄆㅂㅗㅋㅜᆮ				
mp	o	s	u	m	NCVCVC	ᄆㅂㅗᄉㅜᆷ				
mp	o	s	u	n	NCVCVC	ᄆㅂㅗᄉㅜᆫ				
mp	o	s	u	ŋ	NCVCVC	ᄆㅂㅗᄉㅜᆼ				
mp	o	s	u	p̚	NCVCVC	ᄆㅂㅗᄉㅜᆸ				
mp	o	s	u	t̚	NCVCVC	ᄆㅂㅗᄉㅜᆮ				
mp	o	s	u	k̚	NCVCVC	ᄆㅂㅗᄉㅜᆨ				
mp	o	m	u	n	NCVCVC	ᄆㅂㅗᄆㅜᆫ				
mp	o	m	u	ŋ	NCVCVC	ᄆㅂㅗᄆㅜᆼ				
mp	o	m	u	p̚	NCVCVC	ᄆㅂㅗᄆㅜᆸ				
mp	o	m	u	t̚	NCVCVC	ᄆㅂㅗᄆㅜᆮ				
mp	o	m	u	k̚	NCVCVC	ᄆㅂㅗᄆㅜᆨ				
mp	o	n	u	m	NCVCVC	ᄆㅂㅗᄂㅜᆷ				
mp	o	n	u	ŋ	NCVCVC	ᄆㅂㅗᄂㅜᆼ				
mp	o	n	u	p̚	NCVCVC	ᄆㅂㅗᄂㅜᆸ				
mp	o	n	u	t̚	NCVCVC	ᄆㅂㅗᄂㅜᆮ				
mp	o	n	u	k̚	NCVCVC	ᄆㅂㅗᄂㅜᆨ				
mp	u	t	i	m	NCVCVC	ᄆㅂㅜㄷㅣᆷ				
mp	u	t	i	n	NCVCVC	ᄆㅂㅜㄷㅣᆫ				
mp	u	t	i	ŋ	NCVCVC	ᄆㅂㅜㄷㅣᆼ				
mp	u	t	i	p̚	NCVCVC	ᄆㅂㅜㄷㅣᆸ				
mp	u	t	i	k̚	NCVCVC	ᄆㅂㅜㄷㅣᆨ				
mp	u	c	i	m	NCVCVC	ᄆㅂㅜㅈㅣᆷ				
mp	u	c	i	n	NCVCVC	ᄆㅂㅜㅈㅣᆫ				
mp	u	c	i	ŋ	NCVCVC	ᄆㅂㅜㅈㅣᆼ				
mp	u	c	i	p̚	NCVCVC	ᄆㅂㅜㅈㅣᆸ				
mp	u	c	i	t̚	NCVCVC	ᄆㅂㅜㅈㅣᆮ				
mp	u	c	i	k̚	NCVCVC	ᄆㅂㅜㅈㅣᆨ				
mp	u	k	i	m	NCVCVC	ᄆㅂㅜㄱㅣᆷ				
mp	u	k	i	n	NCVCVC	ᄆㅂㅜㄱㅣᆫ				
mp	u	k	i	ŋ	NCVCVC	ᄆㅂㅜㄱㅣᆼ				
mp	u	k	i	p̚	NCVCVC	ᄆㅂㅜㄱㅣᆸ				
mp	u	k	i	t̚	NCVCVC	ᄆㅂㅜㄱㅣᆮ				
mp	u	tʰ	i	m	NCVCVC	ᄆㅂㅜㅌㅣᆷ				
mp	u	tʰ	i	n	NCVCVC	ᄆㅂㅜㅌㅣᆫ				
mp	u	tʰ	i	ŋ	NCVCVC	ᄆㅂㅜㅌㅣᆼ				
mp	u	tʰ	i	p̚	NCVCVC	ᄆㅂㅜㅌㅣᆸ				
mp	u	tʰ	i	k̚	NCVCVC	ᄆㅂㅜㅌㅣᆨ				
mp	u	cʰ	i	m	NCVCVC	ᄆㅂㅜㅊㅣᆷ				
mp	u	cʰ	i	n	NCVCVC	ᄆㅂㅜㅊㅣᆫ				
mp	u	cʰ	i	ŋ	NCVCVC	ᄆㅂㅜㅊㅣᆼ				
mp	u	cʰ	i	p̚	NCVCVC	ᄆㅂㅜㅊㅣᆸ				
mp	u	cʰ	i	t̚	NCVCVC	ᄆㅂㅜㅊㅣᆮ				
mp	u	cʰ	i	k̚	NCVCVC	ᄆㅂㅜㅊㅣᆨ				
mp	u	kʰ	i	m	NCVCVC	ᄆㅂㅜㅋㅣᆷ				
mp	u	kʰ	i	n	NCVCVC	ᄆㅂㅜㅋㅣᆫ				
mp	u	kʰ	i	ŋ	NCVCVC	ᄆㅂㅜㅋㅣᆼ				
mp	u	kʰ	i	p̚	NCVCVC	ᄆㅂㅜㅋㅣᆸ				
mp	u	kʰ	i	t̚	NCVCVC	ᄆㅂㅜㅋㅣᆮ				
mp	u	s	i	m	NCVCVC	ᄆㅂㅜᄉㅣᆷ				
mp	u	s	i	n	NCVCVC	ᄆㅂㅜᄉㅣᆫ				
mp	u	s	i	ŋ	NCVCVC	ᄆㅂㅜᄉㅣᆼ				
mp	u	s	i	p̚	NCVCVC	ᄆㅂㅜᄉㅣᆸ				
mp	u	s	i	t̚	NCVCVC	ᄆㅂㅜᄉㅣᆮ				
mp	u	s	i	k̚	NCVCVC	ᄆㅂㅜᄉㅣᆨ				
mp	u	m	i	n	NCVCVC	ᄆㅂㅜᄆㅣᆫ				
mp	u	m	i	ŋ	NCVCVC	ᄆㅂㅜᄆㅣᆼ				
mp	u	m	i	p̚	NCVCVC	ᄆㅂㅜᄆㅣᆸ				
mp	u	m	i	t̚	NCVCVC	ᄆㅂㅜᄆㅣᆮ				
mp	u	m	i	k̚	NCVCVC	ᄆㅂㅜᄆㅣᆨ				
mp	u	n	i	m	NCVCVC	ᄆㅂㅜᄂㅣᆷ				
mp	u	n	i	ŋ	NCVCVC	ᄆㅂㅜᄂㅣᆼ				
mp	u	n	i	p̚	NCVCVC	ᄆㅂㅜᄂㅣᆸ				
mp	u	n	i	t̚	NCVCVC	ᄆㅂㅜᄂㅣᆮ				
mp	u	n	i	k̚	NCVCVC	ᄆㅂㅜᄂㅣᆨ				
mp	u	t	a	m	NCVCVC	ᄆㅂㅜㄷㅏᆷ				
mp	u	t	a	n	NCVCVC	ᄆㅂㅜㄷㅏᆫ				
mp	u	t	a	ŋ	NCVCVC	ᄆㅂㅜㄷㅏᆼ				
mp	u	t	a	p̚	NCVCVC	ᄆㅂㅜㄷㅏᆸ				
mp	u	t	a	k̚	NCVCVC	ᄆㅂㅜㄷㅏᆨ				
mp	u	c	a	m	NCVCVC	ᄆㅂㅜㅈㅏᆷ				
mp	u	c	a	n	NCVCVC	ᄆㅂㅜㅈㅏᆫ				
mp	u	c	a	ŋ	NCVCVC	ᄆㅂㅜㅈㅏᆼ				
mp	u	c	a	p̚	NCVCVC	ᄆㅂㅜㅈㅏᆸ				
mp	u	c	a	t̚	NCVCVC	ᄆㅂㅜㅈㅏᆮ				
mp	u	c	a	k̚	NCVCVC	ᄆㅂㅜㅈㅏᆨ				
mp	u	k	a	m	NCVCVC	ᄆㅂㅜㄱㅏᆷ				
mp	u	k	a	n	NCVCVC	ᄆㅂㅜㄱㅏᆫ				
mp	u	k	a	ŋ	NCVCVC	ᄆㅂㅜㄱㅏᆼ				
mp	u	k	a	p̚	NCVCVC	ᄆㅂㅜㄱㅏᆸ				
mp	u	k	a	t̚	NCVCVC	ᄆㅂㅜㄱㅏᆮ				
mp	u	tʰ	a	m	NCVCVC	ᄆㅂㅜㅌㅏᆷ				
mp	u	tʰ	a	n	NCVCVC	ᄆㅂㅜㅌㅏᆫ				
mp	u	tʰ	a	ŋ	NCVCVC	ᄆㅂㅜㅌㅏᆼ				
mp	u	tʰ	a	p̚	NCVCVC	ᄆㅂㅜㅌㅏᆸ				
mp	u	tʰ	a	k̚	NCVCVC	ᄆㅂㅜㅌㅏᆨ				
mp	u	cʰ	a	m	NCVCVC	ᄆㅂㅜㅊㅏᆷ				
mp	u	cʰ	a	n	NCVCVC	ᄆㅂㅜㅊㅏᆫ				
mp	u	cʰ	a	ŋ	NCVCVC	ᄆㅂㅜㅊㅏᆼ				
mp	u	cʰ	a	p̚	NCVCVC	ᄆㅂㅜㅊㅏᆸ				
mp	u	cʰ	a	t̚	NCVCVC	ᄆㅂㅜㅊㅏᆮ				
mp	u	cʰ	a	k̚	NCVCVC	ᄆㅂㅜㅊㅏᆨ				
mp	u	kʰ	a	m	NCVCVC	ᄆㅂㅜㅋㅏᆷ				
mp	u	kʰ	a	n	NCVCVC	ᄆㅂㅜㅋㅏᆫ				
mp	u	kʰ	a	ŋ	NCVCVC	ᄆㅂㅜㅋㅏᆼ				
mp	u	kʰ	a	p̚	NCVCVC	ᄆㅂㅜㅋㅏᆸ				
mp	u	kʰ	a	t̚	NCVCVC	ᄆㅂㅜㅋㅏᆮ				
mp	u	s	a	m	NCVCVC	ᄆㅂㅜᄉㅏᆷ				
mp	u	s	a	n	NCVCVC	ᄆㅂㅜᄉㅏᆫ				
mp	u	s	a	ŋ	NCVCVC	ᄆㅂㅜᄉㅏᆼ				
mp	u	s	a	p̚	NCVCVC	ᄆㅂㅜᄉㅏᆸ				
mp	u	s	a	t̚	NCVCVC	ᄆㅂㅜᄉㅏᆮ				
mp	u	s	a	k̚	NCVCVC	ᄆㅂㅜᄉㅏᆨ				
mp	u	m	a	n	NCVCVC	ᄆㅂㅜᄆㅏᆫ				
mp	u	m	a	ŋ	NCVCVC	ᄆㅂㅜᄆㅏᆼ				
mp	u	m	a	p̚	NCVCVC	ᄆㅂㅜᄆㅏᆸ				
mp	u	m	a	t̚	NCVCVC	ᄆㅂㅜᄆㅏᆮ				
mp	u	m	a	k̚	NCVCVC	ᄆㅂㅜᄆㅏᆨ				
mp	u	n	a	m	NCVCVC	ᄆㅂㅜᄂㅏᆷ				
mp	u	n	a	ŋ	NCVCVC	ᄆㅂㅜᄂㅏᆼ				
mp	u	n	a	p̚	NCVCVC	ᄆㅂㅜᄂㅏᆸ				
mp	u	n	a	t̚	NCVCVC	ᄆㅂㅜᄂㅏᆮ				
mp	u	n	a	k̚	NCVCVC	ᄆㅂㅜᄂㅏᆨ				
mp	u	t	o	m	NCVCVC	ᄆㅂㅜㄷㅗᆷ				
mp	u	t	o	n	NCVCVC	ᄆㅂㅜㄷㅗᆫ				
mp	u	t	o	ŋ	NCVCVC	ᄆㅂㅜㄷㅗᆼ				
mp	u	t	o	p̚	NCVCVC	ᄆㅂㅜㄷㅗᆸ				
mp	u	t	o	k̚	NCVCVC	ᄆㅂㅜㄷㅗᆨ				
mp	u	c	o	m	NCVCVC	ᄆㅂㅜㅈㅗᆷ				
mp	u	c	o	n	NCVCVC	ᄆㅂㅜㅈㅗᆫ				
mp	u	c	o	ŋ	NCVCVC	ᄆㅂㅜㅈㅗᆼ				
mp	u	c	o	p̚	NCVCVC	ᄆㅂㅜㅈㅗᆸ				
mp	u	c	o	t̚	NCVCVC	ᄆㅂㅜㅈㅗᆮ				
